IMAGE_REF_ID,PROFILE_NAME,PROFILE_ID,AGENT_ID,IMAGE,PROVINCE,DISTRICT,DS_DIVISION,GN_DIVISION,LATITUDE,LONGITUDE,S3_ARN,DIALOG_COUNT,MOBITEL_COUNT,AIRTEL_COUNT,HUTCH_COUNT,DIALOG_AREA_PERCENTAGE,MOBITEL_AREA_PERCENTAGE,AIRTEL_AREA_PERCENTAGE,HUTCH_AREA_PERCENTAGE
12375,Nishantha Stores ,448926,522632,,North Western,Kurunegala,Giribawa,Perakumpura,8.1516282,80.1437306,arn:aws:s3:::retailer-brand-analysis/Prod/RETAILER/448926/1/ORIGINAL/image_12375.jpeg,1,0,1,0,100.0,,,
20238,Kia Com,10358,7676,,Western,Colombo,Colombo,Modara,6.9649363,79.8714846,arn:aws:s3:::retailer-brand-analysis/Prod/RETAILER/10358/1/ORIGINAL/image_20238.jpeg,14,4,14,2,56.83453237410072,16.477881524567582,23.59559161181693,3.091994489514771
12512,TARIDU STORES,21243,32624,,Western,Kalutara,Ingiriya,Poruwadanda West,6.7339044,80.1128454,arn:aws:s3:::retailer-brand-analysis/Prod/RETAILER/21243/1/ORIGINAL/image_12512.jpeg,3,4,3,0,79.62019316229187,20.379806837708124,,
16531,C.Net Communication,10901,21044,,Western,Gampaha,Attanagalla,Thalgasmote East,7.1514079,80.0692482,arn:aws:s3:::retailer-brand-analysis/Prod/RETAILER/10901/1/ORIGINAL/image_16531.jpeg,0,2,0,1,,95.06622810916528,,4.93377189083474
18513,Ara Communication,168823,221748,,Sabaragamuwa,Kegalle,Yatiyanthota,Ganepalla,6.997554,80.344809,arn:aws:s3:::retailer-brand-analysis/Prod/RETAILER/168823/2/ORIGINAL/image_18513.jpeg,1,1,1,0,81.80545836249125,18.194541637508753,,
15369,M S COMMUNICATION,101149,30524,,North Western,Kurunegala,Mawathagama,Kongaswala,7.5112573,80.4117711,arn:aws:s3:::retailer-brand-analysis/Prod/RETAILER/101149/3/ORIGINAL/image_15369.jpeg,3,0,3,0,100.0,,,
12726,,57672,41153,,North Western,Kurunegala,Panduwasnuwara,Kanduboda,7.5748492,80.1056891,arn:aws:s3:::retailer-brand-analysis/Prod/RETAILER/57672/3/ORIGINAL/image_12726.jpeg,1,0,1,0,100.0,,,
10134,Kanapathy stores,849366,1093232,,Northern,Vavuniya,Vavuniya,Rajendrankulam,8.7502258,80.4392865,arn:aws:s3:::retailer-brand-analysis/Prod/RETAILER/849366/2/ORIGINAL/image_10134.jpeg,2,0,2,0,100.0,,,
13036,David Mobile,437,69152,,Northern,Vavuniya,Vavuniya,Rambaikulam,8.7548292,80.4955312,arn:aws:s3:::retailer-brand-analysis/Prod/RETAILER/437/1/ORIGINAL/image_13036.jpeg,0,11,0,0,,100.0,,
11214,Manjula Stores ,145456,193145,,Western,Gampaha,Biyagama,Biyagama East,6.9464379,79.9913727,arn:aws:s3:::retailer-brand-analysis/Prod/RETAILER/145456/1/ORIGINAL/image_11214.jpeg,0,0,0,0,,,100.0,
12117,SHEEMA MOBILES & BANDARAWELA,374566,306012,,Uva,Badulla,Bandarawela,Bandarawela East,6.8302384,80.9921146,arn:aws:s3:::retailer-brand-analysis/Prod/RETAILER/374566/3/ORIGINAL/image_12117.jpeg,2,0,2,0,100.0,,,
18256,kapila stores,156377,205421,,Sabaragamuwa,Kegalle,Warakapola,Bopitiya,7.1700482,80.1936089,arn:aws:s3:::retailer-brand-analysis/Prod/RETAILER/156377/1/ORIGINAL/image_18256.jpeg,4,0,4,0,100.0,,,
15667,ASHAN COMMUNICATION,37074,52526,,Uva,Moneragala,Siyambalanduwa,Sri Wijithapura,6.9068262,81.5591489,arn:aws:s3:::retailer-brand-analysis/Prod/RETAILER/37074/2/ORIGINAL/image_15667.jpeg,6,0,6,0,100.0,,,
17523,Pathirana book shop,1104646,1393112,,Southern,Hambantota,Lunugamvehera,Lunugamvehera New Town,6.3477286,81.1958668,arn:aws:s3:::retailer-brand-analysis/Prod/RETAILER/1104646/2/ORIGINAL/image_17523.jpeg,0,1,0,1,,79.77827050997783,,20.22172949002217
9257,Smart phone shop,319171,251311,,Eastern,Batticaloa,Koralai Pattu,Valaichenai Tamil,7.9239473,81.530382,arn:aws:s3:::retailer-brand-analysis/Prod/RETAILER/319171/2/ORIGINAL/image_9257.jpeg,1,0,1,0,100.0,,,
11137,Laser Mobile Phone Arcade,101619,125376,,Western,Colombo,Homagama,Mawathgama,6.8412725,80.0040896,arn:aws:s3:::retailer-brand-analysis/Prod/RETAILER/101619/1/ORIGINAL/image_11137.jpeg,3,3,3,2,81.23532371687354,2.390137537739014,12.87739013753774,3.4971486078497147
12720,DARMADASA ST,874266,1124232,,Western,Kalutara,Ingiriya,Kottiyawatta,6.7603786,80.1871973,arn:aws:s3:::retailer-brand-analysis/Prod/RETAILER/874266/2/ORIGINAL/image_12720.jpeg,0,2,0,0,,100.0,,
16418,Mahawattha book shop,1324346,1681932,,Central,Kandy,Kundasale,Mahawatta South,7.2939959,80.6799896,arn:aws:s3:::retailer-brand-analysis/Prod/RETAILER/1324346/1/ORIGINAL/image_16418.jpeg,6,0,6,2,68.88647366860982,,,31.11352633139018
13855,tamil multi shop 2,52506,66982,,Northern,Vavuniya,Vavuniya North,Kanakarayankulam South,9.050623,80.5150484,arn:aws:s3:::retailer-brand-analysis/Prod/RETAILER/52506/1/ORIGINAL/image_13855.jpeg,0,0,0,0,0.0,0.0,0.0,0.0
14859,YOHAN CELLULAR ,105326,131610,,Western,Gampaha,Minuwangoda,Bodhipihituwala,7.195601,79.9873211,arn:aws:s3:::retailer-brand-analysis/Prod/RETAILER/105326/1/ORIGINAL/image_14859.jpeg,0,0,0,1,,,,100.0
19914,DHAMMIKA STORES,69561,52152,,Sabaragamuwa,Rathnapura,Kahawaththa,Yainna,6.5708287,80.5509892,arn:aws:s3:::retailer-brand-analysis/Prod/RETAILER/69561/1/ORIGINAL/image_19914.jpeg,3,0,3,0,100.0,,,
14358,RATHNA STORES,15281,53912,,Uva,Badulla,Bandarawela,Inikambedda,6.8239129,80.9849708,arn:aws:s3:::retailer-brand-analysis/Prod/RETAILER/15281/2/ORIGINAL/image_14358.jpeg,0,2,0,5,,41.17433852845234,,58.82566147154766
9567,LAKSMI  STORES ,89792,88245,,Northern,Vavuniya,Vavuniya,Rambaikulam,8.7479243,80.516458,arn:aws:s3:::retailer-brand-analysis/Prod/RETAILER/89792/2/ORIGINAL/image_9567.jpeg,1,1,1,0,85.59569216962082,14.404307830379178,,
19887,Ice cream shop,1459826,1872092,,Western,Gampaha,Mirigama,Wandurawa,7.1706503,80.0672872,arn:aws:s3:::retailer-brand-analysis/Prod/RETAILER/1459826/1/ORIGINAL/image_19887.jpeg,1,0,1,0,100.0,,,
20087,Prasad stores,1401666,1787952,,North Western,Kurunegala,Mahawa,Daladagama,7.814695,80.2493823,arn:aws:s3:::retailer-brand-analysis/Prod/RETAILER/1401666/3/ORIGINAL/image_20087.jpeg,0,0,0,0,,,100.0,
10279,SARATH  STORES ,94156,105279,,Western,Colombo,Padukka,Udumulla,6.8319998,80.0913033,arn:aws:s3:::retailer-brand-analysis/Prod/RETAILER/94156/1/ORIGINAL/image_10279.jpeg,2,1,2,0,98.6230432524668,1.3769567475332,,
16739,LIBERTY STUDIO,8407,43276,,Southern,Galle,Baddegama,Baddegama,6.1724254,80.1788812,arn:aws:s3:::retailer-brand-analysis/Prod/RETAILER/8407/2/ORIGINAL/image_16739.jpeg,8,2,8,2,60.269666061198826,2.7246052815425457,19.62589073634204,17.379837920916586
15351,Gamagedara multi plus,969826,1212332,,Central,Kandy,Thumpane,Ihala Medagoda,7.3716032,80.4919156,arn:aws:s3:::retailer-brand-analysis/Prod/RETAILER/969826/2/ORIGINAL/image_15351.jpeg,6,1,6,1,93.47371356853996,3.14635336773114,,3.379933063728908
10970,Obit Communication,6329,1564,,Western,Colombo,Thimbirigasyaya,Borella North,6.9193726,79.873024,arn:aws:s3:::retailer-brand-analysis/Prod/RETAILER/6329/1/ORIGINAL/image_10970.jpeg,0,3,0,0,,100.0,,
16754,LOKI UNIVERSE,1369466,1742472,,Northern,Vavuniya,Vavuniya,Rambaikulam,8.756090917,80.500234033,arn:aws:s3:::retailer-brand-analysis/Prod/RETAILER/1369466/2/ORIGINAL/image_16754.jpeg,0,0,0,0,0.0,0.0,0.0,0.0
16307,THATHSARA GRAPHIC,156412,205857,,Sabaragamuwa,Rathnapura,Rathnapura,Ratnapura Town,6.6769584,80.4018632,arn:aws:s3:::retailer-brand-analysis/Prod/RETAILER/156412/2/ORIGINAL/image_16307.jpeg,11,1,11,1,79.47715045451734,2.8755179024179083,,17.647331643064746
15312,THATHSARANI COMMUNICATION,2810,10273,,Western,Gampaha,Divulapitiya,Ihala Madampella North,7.2544659,79.9481313,arn:aws:s3:::retailer-brand-analysis/Prod/RETAILER/2810/2/ORIGINAL/image_15312.jpeg,14,0,14,0,94.3962944392713,,5.603705560728697,
20352,NIMAL STORES,1314746,1668492,,North Western,Kurunegala,Ganewatta,Kalatuwagama,7.6921208,80.3455051,arn:aws:s3:::retailer-brand-analysis/Prod/RETAILER/1314746/3/ORIGINAL/image_20352.jpeg,0,0,0,0,,,100.0,
8549,K.K.S Stores,330926,262032,,Northern,Vavuniya,Vavuniya,Pattanichchippuliyankulam,8.7731849,80.4664349,arn:aws:s3:::retailer-brand-analysis/Prod/RETAILER/330926/2/ORIGINAL/image_8549.jpeg,1,1,1,0,30.464864864864865,69.53513513513514,,
19577,DIDULA SUPER MARKET,442288,509552,,Sabaragamuwa,Rathnapura,Pelmadulla,Panawenna,6.5839856,80.5717934,arn:aws:s3:::retailer-brand-analysis/Prod/RETAILER/442288/2/ORIGINAL/image_19577.jpeg,4,0,4,0,91.36690647482014,,8.633093525179856,
19737,Lonitha stores,49095,51899,,Uva,Moneragala,Medagama,Bakinigahawela,7.0048092,81.2827708,arn:aws:s3:::retailer-brand-analysis/Prod/RETAILER/49095/1/ORIGINAL/image_19737.jpeg,0,0,0,0,0.0,0.0,0.0,0.0
